source_scope_number,scope_kind,physical_carton_count,member_carton_numbers,source_pallet_number,sku,part_number,expected_quantity,pi_row,packing_row
1#,carton,1,1#,,DM-GWM-0106,2803106XKN01A,4,112,12
1#,carton,1,1#,,DM-GWM-0107,2803107XKN01A,4,113,13
1#,carton,1,1#,,DM-GWM-0108,2803101XST01A,4,114,14
1#,carton,1,1#,,DM-GWM-0109,2803102XST01A,4,115,15
2#,carton,1,2#,,DM-GWM-0006,3701200XED61,4,12,16
2#,carton,1,2#,,DM-GWM-0007,1025100XEC06,4,13,17
3#,carton,1,3#,,DM-GWM-0055,AQAC000357,4,61,18
3#,carton,1,3#,,DM-GWM-0056,3401102XGW02A,3,62,20
3#,carton,1,3#,,DM-GWM-0057,3401103XGW02A,3,63,19
3#,carton,1,3#,,DM-GWM-0058,2906102XGW02A,6,64,21
3#,carton,1,3#,,DM-GWM-0071,3401108XGW01A,6,77,22
3#,carton,1,3#,,DM-GWM-0072,2906101XGW01A,6,78,23
3#,carton,1,3#,,DM-GWM-0074,3401101XPW01A,6,80,24
3#,carton,1,3#,,DM-GWM-0102,3401101XKV3AA,4,108,25
4#,carton,1,4#,,DM-GWM-0044,ZF1500101,6,50,26
5#,carton,1,5#,,DM-GWM-0067,2904101XGW02A,10,73,27
6#,carton,1,6#,,DM-GWM-0066,2904100XGW02A,10,72,28
7#8#9#,carton_group,3,7#|8#|9#,,DM-GWM-0064,2904103XGW01A,10,70,29
10#11#,carton_group,2,10#|11#,,DM-GWM-0065,2904104XGW01A,10,71,30
12#,carton,1,12#,,DM-GWM-0088,1001120XGW04A,4,94,31
12#,carton,1,12#,,DM-GWM-0089,1001100XKM01A,4,95,32
12#,carton,1,12#,,DM-GWM-0090,1001101XKM01A,4,96,33
12#,carton,1,12#,,DM-GWM-0091,1001123XGW04A,4,97,34
12#,carton,1,12#,,DM-GWM-0092,1001122XGW04A,4,98,35
13#,carton,1,13#,,DM-GWM-0042,1001115AGW01A,4,48,36
13#,carton,1,13#,,DM-GWM-0059,2905101XPW01B,4,65,37
13#,carton,1,13#,,DM-GWM-0073,2905136XGW01A,10,79,38
13#,carton,1,13#,,DM-GWM-0075,2905117XPW01A,4,81,39
13#,carton,1,13#,,DM-GWM-0076,2905108XKM01A,4,82,40
13#,carton,1,13#,,DM-GWM-0087,1001119XGW04A,4,93,41
13#,carton,1,13#,,DM-GWM-0103,2905302XGW04A,4,109,42
13#,carton,1,13#,,DM-GWM-0104,2904500XKV08A,4,110,43
13#,carton,1,13#,,DM-GWM-0105,2905107XPW01A,2,111,44
14#,carton,1,14#,,DM-GWM-0043,1001116AGW01A,4,49,45
14#,carton,1,14#,,DM-GWM-0045,1001100XGW02A,4,51,46
14#,carton,1,14#,,DM-GWM-0047,1001103XGW02A,4,53,47
15#,carton,1,15#,,DM-GWM-0049,2905127XGW01A,10,55,48
15#,carton,1,15#,,DM-GWM-0050,2905137XGW01A,10,56,49
15#,carton,1,15#,,DM-GWM-0051,2905108XPW01A,4,57,50
15#,carton,1,15#,,DM-GWM-0054,2905377XGW02A,10,60,51
16#,carton,1,16#,,DM-GWM-0113,1307100XED95,4,119,52
17#,carton,1,17#,,DM-GWM-0115,1307100-EG01B,6,121,53
18#,carton,1,18#,,DM-GWM-0097,2904201XKV1BB,4,103,54
18#,carton,1,18#,,DM-GWM-0098,2904202XKV1BA,4,104,55
18#,carton,1,18#,,DM-GWM-0110,1001117AGW01A,4,116,56
19#,carton,1,19#,,DM-GWM-0001,1117100XKW09A,4,7,57
19#,carton,1,19#,,DM-GWM-0003,1111402XED96,10,9,58
19#,carton,1,19#,,DM-GWM-0004,1017110XEN01,20,10,59
19#,carton,1,19#,,DM-GWM-0009,1017100EG01,20,15,60
19#,carton,1,19#,,DM-GWM-0021,1017100-EG01,20,27,61
19#,carton,1,19#,,DM-GWM-0027,1017100XEC01,8,33,62
19#,carton,1,19#,,DM-GWM-0028,1017110XED95,8,34,63
19#,carton,1,19#,,DM-GWM-0029,1017100XED95,8,35,64
20#,carton,1,20#,,DM-GWM-0008,3701011XEG71,6,14,65
20#,carton,1,20#,,DM-GWM-0011,3701011XED95,4,17,66
20#,carton,1,20#,,DM-GWM-0014,1025011XEN01,6,20,67
20#,carton,1,20#,,DM-GWM-0019,1021013XED61,2,25,68
20#,carton,1,20#,,DM-GWM-0020,1021801XED10,2,26,69
20#,carton,1,20#,,DM-GWM-0024,1025014XEDA8,4,30,70
20#,carton,1,20#,,DM-GWM-0025,1025011XEC06,4,31,71
21#,carton,1,21#,,DM-GWM-0082,2904104XPW01A,4,88,72
